iter	RMSE
0	1410.686851
1	1332.619925
2	1262.245563
3	1197.909591
4	1139.336022
5	1086.413036
6	1036.903852
7	992.6468583
8	953.1287658
9	915.8988191
10	883.1559111
11	852.7357696
12	825.7398128
13	801.1246413
14	779.8803014
15	760.66859
16	743.5502162
17	728.3526611
18	714.4687094
19	702.3137737
20	691.8117441
21	682.7312728
22	674.3682266
23	666.6703798
24	660.2161208
25	654.1903256
26	648.9698315
27	644.7883975
28	640.7304218
29	636.9999709
30	633.6788678
31	630.7148026
32	628.1764003
33	625.8037766
34	623.9733387
35	622.2358335
36	620.6926521
37	619.2664973
38	618.0077268
39	616.7641733
40	615.7027553
41	614.7748483
42	613.8994784
43	613.0438118
44	612.3322972
45	611.4981542
46	610.7925111
47	610.1239362
48	609.3506676
49	608.848327
50	608.4000426
51	607.998764
52	607.5124008
53	606.9976295
54	606.6683599
55	606.3094184
56	605.9493196
57	605.5086816
58	605.1164203
59	604.8721952
60	604.5651299
61	604.0864554
62	603.2304925
63	602.9113071
64	602.7010659
65	602.4581935
66	602.0016582
67	601.76036
68	601.5378913
69	601.1955426
70	600.9506693
71	600.8203712
72	600.350826
73	600.0049681
74	599.8344319
75	599.6352813
76	599.3911567
77	599.1556677
78	598.9802658
79	598.8541222
80	598.5411412
81	598.2618536
82	598.1977992
83	597.9151544
84	597.8441193
85	597.571006
86	597.3110556
87	597.1291979
88	596.9310731
89	596.7363835
90	596.5318219
91	596.2537564
92	596.0133355
93	595.6858271
94	595.5982719
95	595.1812308
96	594.9790337
97	594.7975907
98	594.5830743
99	594.3494952
100	594.2692668
101	593.9711172
102	593.8205366
103	593.2430028
104	593.0074863
105	592.8011759
106	592.6592632
107	592.5711549
108	592.4708653
109	592.3128121
110	591.9962861
111	591.9133092
112	591.6490708
113	591.3080389
114	591.0611162
115	590.9013609
116	590.7283701
117	590.5416662
118	590.3054707
119	590.0976481
120	589.7679334
121	589.6168384
122	589.5414913
123	589.4244046
124	589.3172825
125	589.2141582
126	589.0516751
127	588.8977697
128	588.6629069
129	588.5669122
130	588.3038408
131	588.2478498
132	587.9508647
133	587.7096366
134	587.5832083
135	587.4229687
136	587.2850438
137	586.9409068
138	586.6121975
139	586.528738
140	586.2454828
141	586.0791783
142	585.9429734
143	585.6427884
144	585.3005188
145	585.0441824
146	584.8406487
147	584.1293133
148	584.0231975
149	583.9484533
150	583.7361399
151	583.5835089
152	583.3892329
153	583.2509804
154	583.1568819
155	583.0892613
156	582.9039082
157	582.6588885
158	582.4337099
159	582.273441
160	582.1847767
161	582.0063505
162	581.901658
163	581.7147348
164	581.6599435
165	581.5486446
166	581.3706869
167	581.2072404
168	580.8555411
169	580.7800351
170	580.5530435
