iter	Passed	Remaining
0	59	59326
1	61	30684
2	64	21270
3	66	16492
4	68	13718
5	71	11781
6	73	10385
7	75	9361
8	78	8671
9	81	8077
10	84	7561
11	86	7140
12	89	6758
13	91	6431
14	93	6139
15	96	5927
16	98	5711
17	101	5524
18	103	5360
19	105	5193
20	108	5045
21	110	4910
22	112	4796
23	115	4693
24	118	4602
25	120	4505
26	122	4412
27	124	4330
28	127	4253
29	129	4184
30	131	4118
31	134	4068
32	136	4009
33	139	3953
34	141	3897
35	143	3847
36	146	3800
37	148	3752
38	150	3713
39	152	3670
40	155	3629
41	157	3592
42	159	3550
43	161	3512
44	164	3483
45	166	3454
46	168	3425
47	171	3392
48	173	3362
49	175	3331
50	178	3315
51	180	3295
52	183	3271
53	185	3250
54	187	3229
55	190	3204
56	192	3185
57	195	3169
58	197	3152
59	200	3141
60	202	3124
61	205	3105
62	207	3082
63	209	3062
64	211	3045
65	214	3030
66	216	3013
67	218	2996
68	220	2978
69	222	2959
70	224	2942
71	227	2926
72	229	2911
73	231	2895
74	233	2878
75	235	2862
76	237	2849
77	239	2833
78	242	2823
79	244	2810
80	246	2796
81	248	2782
82	250	2768
83	252	2754
84	254	2743
85	257	2734
86	259	2726
87	262	2715
88	264	2705
89	266	2693
90	268	2682
91	270	2671
92	272	2659
93	274	2647
94	276	2638
95	279	2631
96	281	2622
97	283	2613
98	286	2604
99	288	2593
100	290	2583
101	292	2575
102	294	2565
103	296	2556
104	298	2545
105	300	2533
106	302	2522
107	304	2513
108	306	2504
109	308	2495
110	310	2486
111	312	2477
112	314	2470
113	316	2462
114	318	2452
115	320	2444
116	323	2438
117	335	2509
118	342	2536
119	346	2543
120	349	2537
121	351	2529
122	354	2524
123	356	2516
124	358	2508
125	360	2499
126	362	2490
127	364	2482
128	366	2473
129	368	2467
130	370	2460
131	372	2452
132	375	2445
133	377	2438
134	379	2431
135	382	2430
136	384	2424
137	387	2418
138	389	2415
139	392	2414
140	395	2409
141	397	2402
142	400	2398
143	402	2392
144	404	2387
145	407	2381
146	409	2376
147	412	2372
148	414	2365
149	416	2358
150	418	2352
151	420	2347
152	422	2341
153	425	2335
154	427	2328
155	429	2322
156	431	2318
157	433	2312
158	436	2307
159	438	2302
160	440	2297
161	443	2292
162	445	2286
163	447	2282
164	451	2282
165	454	2282
166	456	2278
167	458	2273
168	461	2267
169	463	2261
170	465	2255
171	467	2250
172	469	2244
173	471	2238
174	473	2233
175	475	2226
176	477	2220
177	479	2214
178	481	2208
179	483	2202
180	486	2200
181	490	2205
182	493	2203
183	496	2200
184	499	2198
185	501	2196
186	504	2191
187	506	2186
188	508	2182
189	510	2176
190	512	2170
191	514	2164
192	516	2159
193	518	2153
194	520	2148
195	522	2143
196	525	2141
197	527	2136
198	529	2132
199	533	2132
200	535	2129
201	537	2124
202	540	2120
203	542	2116
204	545	2114
205	547	2110
206	549	2106
207	552	2103
208	554	2099
209	556	2095
210	559	2092
211	562	2088
212	564	2084
213	566	2080
214	568	2076
215	570	2071
216	573	2067
217	575	2064
218	577	2060
219	580	2056
220	582	2053
221	584	2049
222	587	2046
223	589	2041
224	591	2037
225	593	2032
226	595	2028
227	597	2023
228	599	2018
229	605	2026
230	607	2023
231	610	2019
232	612	2016
233	614	2012
234	616	2008
235	619	2004
236	621	1999
237	623	1995
238	625	1992
239	628	1989
240	630	1984
241	632	1980
242	634	1976
243	636	1971
244	638	1966
245	639	1961
246	641	1956
247	643	1951
248	645	1946
249	647	1941
250	649	1936
251	651	1932
252	652	1927
253	655	1923
254	656	1919
255	658	1914
256	660	1909
257	662	1905
258	664	1900
259	666	1895
260	667	1891
261	669	1886
262	671	1881
263	673	1877
264	675	1872
265	676	1868
266	678	1863
267	680	1859
268	682	1854
269	684	1850
270	686	1845
271	688	1841
272	689	1837
273	691	1833
274	693	1829
275	695	1825
276	697	1821
277	699	1816
278	701	1813
279	703	1808
280	705	1804
281	707	1800
282	709	1796
283	711	1792
284	713	1788
285	714	1784
286	716	1780
287	718	1777
288	720	1772
289	722	1768
290	724	1764
291	726	1761
292	728	1757
293	730	1753
294	732	1749
295	733	1745
296	735	1741
297	737	1737
298	739	1733
299	741	1729
300	743	1725
301	745	1722
302	747	1718
303	749	1715
304	751	1711
305	752	1707
306	754	1704
307	756	1700
308	758	1696
309	760	1692
310	762	1689
311	764	1685
312	766	1682
313	768	1679
314	770	1675
315	772	1671
316	774	1667
317	775	1664
318	778	1660
319	780	1657
320	782	1654
321	784	1651
322	786	1648
323	788	1644
324	790	1640
325	791	1637
326	793	1633
327	795	1629
328	797	1626
329	799	1622
330	801	1619
331	802	1615
332	804	1612
333	806	1608
334	808	1605
335	811	1603
336	813	1600
337	815	1596
338	817	1593
339	819	1590
340	821	1587
341	823	1583
342	825	1580
343	826	1576
344	828	1573
345	830	1570
346	832	1566
347	834	1563
348	836	1560
349	838	1557
350	840	1554
351	843	1551
352	844	1548
353	847	1546
354	849	1543
355	851	1540
356	853	1537
357	855	1534
358	857	1531
359	859	1528
360	861	1524
361	863	1521
362	865	1518
363	867	1516
364	869	1513
365	871	1510
366	873	1507
367	876	1504
368	878	1502
369	890	1516
370	893	1514
371	896	1513
372	900	1513
373	904	1513
374	907	1512
375	910	1510
376	912	1508
377	914	1504
378	916	1501
379	918	1498
380	920	1496
381	922	1493
382	924	1489
383	926	1487
384	928	1483
385	930	1480
386	932	1477
387	935	1474
388	937	1472
389	939	1469
390	941	1465
391	943	1463
392	945	1459
393	947	1456
394	949	1454
395	951	1451
396	953	1448
397	955	1445
398	957	1442
399	959	1439
400	961	1436
401	963	1433
402	965	1430
403	967	1427
404	969	1424
405	971	1421
406	973	1418
407	975	1416
408	977	1413
409	979	1410
410	982	1407
411	984	1404
412	986	1402
413	989	1400
414	992	1399
415	994	1396
416	996	1393
417	999	1391
418	1002	1389
419	1005	1388
420	1007	1385
421	1009	1383
422	1011	1380
423	1015	1379
424	1019	1378
425	1022	1377
426	1024	1374
427	1027	1372
428	1029	1370
429	1033	1369
430	1035	1367
431	1037	1364
432	1040	1362
433	1042	1359
434	1044	1356
435	1047	1354
436	1049	1352
437	1052	1350
438	1054	1347
439	1056	1345
440	1058	1342
441	1060	1339
442	1062	1336
443	1064	1333
444	1067	1330
445	1069	1328
446	1071	1325
447	1073	1322
448	1075	1319
449	1077	1316
450	1079	1313
451	1081	1310
452	1083	1308
453	1085	1305
454	1087	1303
455	1089	1300
456	1091	1297
457	1093	1294
458	1096	1291
459	1098	1289
460	1100	1286
461	1102	1283
462	1104	1281
463	1106	1278
464	1108	1275
465	1110	1272
466	1112	1269
467	1114	1266
468	1116	1264
469	1118	1261
470	1120	1258
471	1121	1255
472	1123	1252
473	1125	1249
474	1127	1246
475	1129	1243
476	1131	1240
477	1133	1237
478	1135	1234
479	1136	1231
480	1138	1228
481	1140	1226
482	1142	1223
483	1145	1220
484	1147	1218
485	1149	1215
486	1151	1213
487	1153	1210
488	1155	1207
489	1157	1204
490	1159	1201
491	1161	1199
492	1163	1196
493	1165	1193
494	1166	1190
495	1168	1187
496	1170	1184
497	1172	1182
498	1174	1179
499	1176	1176
500	1178	1173
501	1180	1171
502	1182	1168
503	1184	1165
504	1186	1162
505	1188	1160
506	1190	1157
507	1192	1154
508	1194	1152
509	1196	1149
510	1198	1146
511	1199	1143
512	1201	1140
513	1203	1137
514	1205	1135
515	1207	1132
516	1209	1129
517	1211	1127
518	1213	1124
519	1215	1121
520	1217	1119
521	1219	1116
522	1221	1113
523	1223	1111
524	1225	1108
525	1227	1105
526	1229	1103
527	1231	1100
528	1233	1098
529	1235	1095
530	1237	1093
531	1239	1090
532	1241	1087
533	1243	1085
534	1245	1082
535	1248	1080
536	1250	1077
537	1252	1075
538	1254	1073
539	1257	1070
540	1259	1068
541	1261	1066
542	1264	1063
543	1266	1061
544	1269	1059
545	1271	1056
546	1273	1054
547	1274	1051
548	1277	1049
549	1279	1046
550	1281	1044
551	1283	1041
552	1286	1039
553	1288	1037
554	1290	1034
555	1292	1032
556	1295	1030
557	1297	1027
558	1299	1025
559	1301	1022
560	1303	1020
561	1305	1017
562	1307	1015
563	1309	1012
564	1312	1010
565	1314	1007
566	1316	1005
567	1318	1002
568	1320	1000
569	1322	997
570	1324	995
571	1327	992
572	1329	990
573	1331	988
574	1333	985
575	1335	983
576	1337	980
577	1339	977
578	1341	975
579	1343	972
580	1345	970
581	1347	967
582	1349	965
583	1351	962
584	1353	960
585	1355	957
586	1357	955
587	1359	952
588	1362	950
589	1364	948
590	1367	946
591	1368	943
592	1370	940
593	1372	938
594	1375	936
595	1377	933
596	1379	931
597	1381	928
598	1383	926
599	1385	923
600	1387	921
601	1389	918
602	1391	916
603	1394	914
604	1397	912
605	1399	909
606	1401	907
607	1403	905
608	1406	902
609	1408	900
610	1410	897
611	1412	895
612	1414	892
613	1416	890
614	1418	887
615	1420	885
616	1422	883
617	1424	880
618	1426	878
619	1428	875
620	1431	873
621	1433	870
622	1435	868
623	1437	865
624	1439	863
625	1441	860
626	1443	858
627	1445	856
628	1447	853
629	1449	851
630	1451	848
631	1453	846
632	1455	844
633	1458	841
634	1460	839
635	1462	836
636	1464	834
637	1466	832
638	1468	829
639	1470	827
640	1472	824
641	1474	822
642	1477	820
643	1479	817
644	1481	815
645	1482	812
646	1484	810
647	1486	807
648	1489	805
649	1492	803
650	1495	801
651	1498	799
652	1501	797
653	1503	795
654	1505	793
655	1508	791
656	1510	788
657	1513	786
658	1515	784
659	1518	782
660	1520	779
661	1523	777
662	1526	775
663	1535	777
664	1537	774
665	1540	772
666	1552	775
667	1555	773
668	1558	771
669	1561	769
670	1564	767
671	1566	764
672	1568	762
673	1571	759
674	1573	757
675	1575	755
676	1578	752
677	1580	750
678	1582	747
679	1584	745
680	1586	743
681	1588	740
682	1590	738
683	1592	735
684	1595	733
685	1597	731
686	1599	728
687	1601	726
688	1604	724
689	1606	721
690	1608	719
691	1611	717
692	1613	714
693	1615	712
694	1616	709
695	1619	707
696	1621	704
697	1623	702
698	1625	699
699	1627	697
700	1630	695
701	1632	692
702	1634	690
703	1636	687
704	1638	685
705	1640	683
706	1642	680
707	1644	678
708	1646	675
709	1648	673
710	1650	670
711	1652	668
712	1654	666
713	1656	663
714	1659	661
715	1661	659
716	1663	656
717	1665	654
718	1667	651
719	1669	649
720	1671	646
721	1673	644
722	1675	642
723	1677	639
724	1679	637
725	1681	634
726	1683	632
727	1685	629
728	1687	627
729	1690	625
730	1692	622
731	1695	620
732	1697	618
733	1698	615
734	1701	613
735	1703	610
736	1705	608
737	1707	606
738	1709	603
739	1711	601
740	1713	598
741	1715	596
742	1717	594
743	1720	591
744	1722	589
745	1724	587
746	1727	585
747	1729	582
748	1731	580
749	1733	577
750	1735	575
751	1737	573
752	1739	570
753	1741	568
754	1743	565
755	1745	563
756	1747	560
757	1749	558
758	1751	556
759	1753	553
760	1756	551
761	1758	549
762	1760	546
763	1762	544
764	1764	542
765	1766	539
766	1768	537
767	1770	534
768	1772	532
769	1775	530
770	1776	527
771	1778	525
772	1780	522
773	1782	520
774	1785	518
775	1787	515
776	1789	513
777	1791	511
778	1793	508
779	1795	506
780	1797	504
781	1800	501
782	1802	499
783	1804	497
784	1806	494
785	1808	492
786	1810	490
787	1812	487
788	1814	485
789	1816	482
790	1818	480
791	1821	478
792	1823	476
793	1825	473
794	1827	471
795	1829	468
796	1831	466
797	1833	464
798	1835	461
799	1837	459
800	1840	457
801	1842	454
802	1844	452
803	1846	450
804	1849	447
805	1851	445
806	1853	443
807	1855	440
808	1858	438
809	1860	436
810	1861	433
811	1864	431
812	1866	429
813	1868	427
814	1870	424
815	1872	422
816	1874	419
817	1876	417
818	1878	415
819	1880	412
820	1882	410
821	1884	408
822	1886	405
823	1889	403
824	1891	401
825	1893	398
826	1896	396
827	1898	394
828	1900	391
829	1902	389
830	1904	387
831	1905	384
832	1907	382
833	1909	380
834	1911	377
835	1913	375
836	1915	373
837	1917	370
838	1920	368
839	1922	366
840	1924	363
841	1926	361
842	1928	359
843	1930	356
844	1932	354
845	1934	352
846	1936	349
847	1938	347
848	1940	345
849	1942	342
850	1944	340
851	1946	338
852	1949	335
853	1951	333
854	1953	331
855	1955	329
856	1957	326
857	1959	324
858	1961	321
859	1963	319
860	1965	317
861	1967	315
