iter	Passed	Remaining
0	60	60370
1	63	31537
2	65	21893
3	68	17031
4	70	14053
5	73	12122
6	75	10745
7	78	9674
8	80	8912
9	83	8269
10	85	7718
11	88	7275
12	90	6883
13	93	6556
14	95	6285
15	98	6043
16	100	5824
17	103	5622
18	105	5453
19	107	5283
20	110	5131
21	112	5004
22	115	4888
23	117	4774
24	119	4669
25	122	4579
26	124	4502
27	127	4423
28	129	4348
29	132	4282
30	134	4208
31	136	4141
32	139	4082
33	141	4023
34	143	3965
35	146	3922
36	148	3876
37	151	3827
38	153	3775
39	155	3733
40	158	3698
41	160	3657
42	162	3622
43	165	3585
44	167	3550
45	169	3524
46	172	3496
47	174	3469
48	177	3435
49	179	3410
50	183	3413
51	186	3405
52	189	3393
53	192	3366
54	194	3346
55	197	3324
56	199	3298
57	201	3272
58	204	3254
59	206	3229
60	208	3204
61	210	3186
62	213	3171
63	215	3152
64	217	3131
65	220	3114
66	222	3102
67	225	3094
68	228	3086
69	231	3076
70	233	3059
71	236	3046
72	239	3037
73	241	3025
74	245	3029
75	248	3023
76	251	3018
77	254	3010
78	257	2999
79	259	2986
80	262	2974
81	264	2962
82	267	2950
83	269	2939
84	271	2923
85	273	2907
86	276	2896
87	278	2884
88	280	2870
89	282	2855
90	284	2844
91	287	2836
92	289	2824
93	292	2815
94	294	2805
95	296	2795
96	299	2783
97	301	2775
98	304	2771
99	306	2761
100	309	2751
101	311	2743
102	313	2733
103	316	2722
104	318	2715
105	320	2706
106	323	2696
107	325	2687
108	327	2679
109	330	2670
110	332	2660
111	335	2656
112	338	2654
113	340	2649
114	343	2640
115	345	2634
116	348	2629
117	351	2628
118	354	2625
119	357	2621
120	360	2620
121	362	2611
122	365	2603
123	367	2597
124	370	2591
125	372	2583
126	374	2576
127	376	2568
128	379	2560
129	381	2550
130	383	2546
131	386	2541
132	388	2532
133	390	2525
134	393	2518
135	395	2509
136	397	2503
137	400	2498
138	402	2491
139	404	2484
140	406	2478
141	409	2471
142	411	2463
143	413	2456
144	415	2452
145	419	2451
146	421	2446
147	424	2444
148	428	2447
149	442	2509
150	446	2511
151	450	2513
152	453	2511
153	456	2505
154	458	2500
155	460	2493
156	463	2490
157	466	2484
158	468	2477
159	470	2470
160	473	2466
161	475	2460
162	477	2453
163	479	2446
164	482	2441
165	484	2436
166	487	2429
167	489	2423
168	491	2416
169	493	2409
170	495	2402
171	498	2397
172	500	2390
173	502	2384
174	505	2383
175	507	2378
176	510	2372
177	512	2367
178	515	2363
179	517	2357
180	519	2352
181	522	2346
182	524	2340
183	526	2334
184	528	2329
185	531	2324
186	533	2318
187	535	2312
188	538	2308
189	540	2303
190	542	2298
191	544	2291
192	546	2286
193	548	2280
194	550	2274
195	553	2269
196	555	2264
197	557	2258
198	559	2251
199	561	2245
200	563	2239
201	565	2233
202	567	2227
203	569	2222
204	571	2217
205	573	2211
206	575	2206
207	578	2201
208	580	2196
209	582	2191
210	584	2186
211	587	2183
212	589	2178
213	591	2172
214	593	2167
215	595	2162
216	598	2158
217	601	2155
218	603	2153
219	606	2149
220	608	2146
221	611	2143
222	614	2141
223	617	2138
224	623	2148
225	627	2149
226	630	2146
227	632	2142
228	635	2138
229	637	2133
230	639	2128
231	641	2123
232	644	2120
233	646	2116
234	648	2111
235	650	2107
236	653	2103
237	655	2098
238	657	2093
239	659	2089
240	662	2086
241	664	2081
242	667	2079
243	669	2075
244	672	2073
245	676	2073
246	679	2072
247	682	2070
248	688	2075
249	691	2075
250	694	2073
251	697	2071
252	700	2069
253	703	2065
254	706	2063
255	708	2060
256	711	2055
257	713	2050
258	715	2046
259	717	2042
260	720	2039
261	722	2036
262	725	2033
263	728	2029
264	730	2024
265	732	2021
266	734	2016
267	736	2011
268	738	2006
269	740	2002
270	742	1997
271	748	2002
272	753	2006
273	755	2003
274	760	2004
275	764	2004
276	766	2000
277	768	1996
278	770	1991
279	772	1986
280	775	1984
281	777	1979
282	779	1975
283	781	1970
284	784	1967
285	786	1963
286	788	1959
287	791	1956
288	793	1952
289	795	1947
290	798	1944
291	800	1941
292	803	1938
293	805	1934
294	807	1930
295	809	1926
296	812	1922
297	814	1918
298	816	1913
299	818	1910
300	820	1905
301	823	1903
302	825	1899
303	827	1895
304	830	1891
305	832	1888
306	835	1885
307	837	1881
308	839	1878
309	842	1874
310	844	1871
311	848	1870
312	850	1867
313	852	1863
314	855	1859
315	857	1855
316	859	1852
317	861	1848
318	863	1844
319	866	1840
320	868	1836
321	869	1831
322	871	1827
323	873	1823
324	875	1818
325	877	1814
326	879	1810
327	881	1806
328	883	1802
329	885	1798
330	887	1794
331	889	1789
332	891	1785
333	893	1781
334	895	1776
335	897	1773
336	899	1769
337	901	1764
338	903	1760
339	904	1756
340	906	1752
341	908	1748
342	910	1744
343	912	1740
344	914	1736
345	916	1732
346	918	1729
347	921	1726
348	923	1722
349	925	1717
350	926	1713
351	929	1710
352	931	1706
353	932	1702
354	934	1698
355	936	1694
356	938	1690
357	940	1686
358	942	1682
359	944	1679
360	946	1675
361	948	1671
362	950	1667
363	952	1664
364	954	1661
365	956	1657
366	958	1653
367	961	1651
368	964	1648
369	966	1645
370	968	1641
371	970	1638
372	972	1635
373	975	1632
374	978	1630
375	980	1627
376	982	1624
377	984	1620
378	988	1619
379	990	1616
380	993	1613
381	995	1610
382	997	1606
383	999	1603
384	1001	1599
385	1007	1602
386	1012	1603
387	1015	1601
388	1017	1597
389	1029	1610
390	1032	1608
391	1038	1611
392	1042	1610
393	1048	1612
394	1051	1611
395	1054	1608
396	1057	1605
397	1059	1602
398	1062	1599
399	1064	1596
400	1066	1593
401	1070	1591
402	1072	1588
403	1074	1585
404	1077	1582
405	1079	1579
406	1081	1576
407	1084	1573
408	1086	1570
409	1089	1567
410	1091	1563
411	1093	1561
412	1096	1558
413	1098	1555
414	1101	1552
415	1103	1549
416	1105	1545
417	1107	1542
418	1109	1539
419	1112	1536
420	1114	1532
421	1117	1530
422	1120	1527
423	1122	1524
424	1124	1521
425	1126	1518
426	1129	1515
427	1131	1511
428	1133	1508
429	1135	1505
430	1137	1502
431	1139	1498
432	1142	1495
433	1144	1492
434	1146	1489
435	1148	1485
436	1151	1483
437	1153	1479
438	1155	1476
439	1157	1473
440	1159	1469
441	1161	1466
442	1164	1464
443	1167	1462
444	1170	1460
445	1173	1457
446	1176	1455
447	1179	1453
448	1183	1452
449	1186	1450
450	1189	1447
451	1191	1444
452	1194	1441
453	1196	1438
454	1198	1436
455	1201	1433
456	1204	1431
457	1207	1428
458	1209	1425
459	1211	1422
460	1213	1419
461	1216	1416
462	1217	1412
463	1220	1409
464	1222	1406
465	1224	1403
466	1226	1400
467	1228	1396
468	1230	1393
469	1232	1389
470	1234	1386
471	1236	1383
472	1239	1380
473	1241	1377
474	1243	1373
475	1245	1370
476	1247	1367
477	1249	1364
478	1251	1360
479	1253	1357
480	1255	1354
481	1257	1351
482	1259	1347
483	1260	1344
484	1262	1340
485	1264	1337
486	1266	1334
487	1268	1330
488	1270	1327
489	1272	1324
490	1274	1320
491	1276	1317
492	1278	1314
493	1280	1311
494	1281	1307
495	1283	1304
496	1285	1301
497	1288	1298
498	1290	1295
499	1291	1291
500	1293	1288
501	1295	1285
502	1297	1282
503	1299	1279
504	1302	1276
505	1304	1273
506	1306	1270
507	1308	1267
508	1311	1265
509	1314	1262
510	1316	1259
511	1318	1256
512	1320	1253
513	1323	1251
514	1326	1249
515	1329	1246
516	1331	1244
517	1334	1241
518	1336	1239
519	1339	1236
520	1341	1233
521	1343	1230
522	1346	1227
523	1348	1225
524	1351	1222
525	1353	1219
526	1355	1216
527	1358	1214
528	1361	1211
529	1363	1209
530	1366	1206
531	1368	1203
532	1371	1202
533	1374	1199
534	1376	1196
535	1379	1193
536	1381	1191
537	1384	1188
538	1386	1186
539	1389	1183
540	1391	1180
541	1393	1177
542	1395	1174
543	1398	1171
544	1400	1169
545	1402	1166
546	1405	1163
547	1407	1160
548	1409	1157
549	1411	1155
550	1414	1152
551	1416	1149
552	1419	1147
553	1422	1145
554	1424	1142
555	1427	1139
556	1429	1136
557	1431	1133
558	1433	1131
559	1436	1128
560	1438	1125
561	1440	1122
562	1443	1120
563	1445	1117
564	1447	1114
565	1449	1111
566	1451	1108
567	1454	1105
568	1456	1102
569	1458	1100
570	1460	1097
571	1462	1094
572	1465	1091
573	1467	1089
574	1469	1086
575	1472	1083
576	1474	1080
577	1476	1078
578	1478	1075
579	1481	1072
580	1483	1070
581	1486	1067
582	1488	1064
583	1490	1061
584	1493	1059
585	1495	1056
586	1497	1053
587	1499	1050
588	1502	1048
589	1504	1045
590	1506	1042
591	1509	1040
592	1511	1037
593	1514	1034
594	1516	1032
595	1518	1029
596	1521	1027
597	1523	1024
598	1526	1021
599	1528	1019
600	1531	1016
601	1534	1014
602	1536	1011
603	1539	1009
604	1541	1006
605	1544	1004
606	1546	1001
607	1549	999
608	1552	996
609	1555	994
610	1557	991
611	1560	989
612	1562	986
613	1565	983
614	1567	981
615	1570	979
616	1573	976
617	1575	973
618	1577	971
619	1580	968
620	1582	965
621	1584	963
622	1587	960
623	1589	957
624	1591	954
625	1593	952
626	1596	949
627	1598	947
628	1601	944
629	1603	941
630	1606	939
631	1608	936
632	1610	933
633	1612	931
634	1615	928
635	1617	925
636	1620	923
637	1622	920
638	1625	918
639	1628	915
640	1630	913
641	1632	910
642	1635	908
643	1637	905
644	1640	902
645	1643	900
646	1645	897
647	1647	895
648	1650	892
649	1652	889
650	1655	887
651	1657	884
652	1660	882
653	1662	879
654	1664	876
655	1666	874
656	1669	871
657	1671	868
658	1674	866
659	1676	863
660	1678	860
661	1681	858
662	1683	855
663	1685	853
664	1688	850
665	1691	848
666	1693	845
667	1695	842
668	1698	840
669	1701	837
670	1703	835
671	1706	832
